

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

473.204  001.194  001.194: sourcing C:\Users\matej\.vim\plugged\vim-speeddating\plugin\speeddating.vim
474.238  000.235  000.235: sourcing C:\Users\matej\.vim\plugged\bufferize.vim\plugin\bufferize.vim
475.051  000.123  000.123: sourcing C:\Users\matej\.vim\plugged\nvim-ts-autotag\plugin\nvim-ts-autotag.vim
475.986  000.143  000.143: sourcing C:\Users\matej\.vim\plugged\vim-airline-themes\plugin\airline-themes.vim
476.976  000.207  000.207: sourcing C:\Users\matej\.vim\plugged\nvim-colorizer.lua\plugin\colorizer.vim
481.303  003.543  003.543: sourcing C:\Users\matej\.vim\plugged\vim-devicons\plugin\webdevicons.vim
482.435  000.407  000.407: sourcing C:\Users\matej\.vim\plugged\vim-startify\plugin\startify.vim
484.372  001.214  001.214: sourcing C:\Users\matej\.vim\plugged\indent-blankline.nvim\plugin\indent_blankline.vim
488.779  003.688  003.688: sourcing C:\Users\matej\.vim\plugged\vim-fugitive\plugin\fugitive.vim
491.504  000.361  000.361: sourcing C:\Users\matej\.vim\plugged\vim-gitgutter\autoload\gitgutter\utility.vim
507.481  000.350  000.350: sourcing C:\Users\matej\.vim\plugged\vim-gitgutter\autoload\gitgutter\highlight.vim
509.886  000.240  000.240: sourcing C:\Users\matej\.vim\plugged\vim-gitgutter\autoload\gitgutter\async.vim
511.302  021.759  020.808: sourcing C:\Users\matej\.vim\plugged\vim-gitgutter\plugin\gitgutter.vim
512.471  000.451  000.451: sourcing C:\Users\matej\.vim\plugged\gv.vim\plugin\gv.vim
515.347  000.595  000.595: sourcing C:\Users\matej\.vim\plugged\nerdtree\autoload\nerdtree.vim
517.783  000.884  000.884: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\path.vim
519.420  000.331  000.331: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\menu_controller.vim
520.854  000.218  000.218: sourcing C:\Users\matej\.vim\plugged\nerdtree\lib\nerdtree\menu_item.vim
